Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15,Channel 16,Channel 17,Channel 18,Channel 19,Channel 20
12700020.000000,1500.000000,1500.000000,990.000000,1480.000000,3.500000,13.000000,-4.700000,0.000000,0.000000,0.000000,6.300000,23.600000,-8.100000,0.000000,0.000000,0.000000,0.000000,-0.300000,-1.300000
12702766.000000,1500.000000,1500.000000,990.000000,1480.000000,3.500000,13.000000,-4.700000,0.000000,0.000000,0.000000,5.400000,19.900000,-7.100000,0.000000,0.000000,0.000000,0.000000,-0.300000,-1.300000
12705059.000000,1500.000000,1500.000000,990.000000,1480.000000,3.600000,13.000000,-4.700000,0.000000,0.000000,0.000000,6.500000,23.700000,-8.200000,0.000000,0.000000,0.000000,0.000000,-0.300000,-1.300000
12707626.000000,1500.000000,1500.000000,990.000000,1480.000000,3.600000,13.000000,-4.700000,0.000000,0.000000,0.000000,5.800000,21.300000,-7.500000,0.000000,0.000000,0.000000,0.000000,-0.300000,-1.300000
12710167.000000,1500.000000,1500.000000,990.000000,1480.000000,3.600000,13.000000,-4.700000,0.000000,0.000000,0.000000,5.900000,21.500000,-7.500000,0.000000,0.000000,0.000000,0.000000,-0.300000,-1.300000
12712451.000000,1500.000000,1500.000000,990.000000,1480.000000,3.600000,13.100000,-4.700000,0.000000,0.000000,0.000000,6.500000,23.900000,-8.200000,0.000000,0.000000,0.000000,0.000000,-0.300000,-1.300000
12714991.000000,1500.000000,1500.000000,990.000000,1480.000000,3.600000,13.100000,-4.700000,0.000000,0.000000,0.000000,5.900000,21.700000,-7.500000,0.000000,0.000000,0.000000,0.000000,-0.300000,-1.300000
12717280.000000,1500.000000,1500.000000,990.000000,1480.000000,3.600000,13.100000,-4.700000,0.000000,0.000000,0.000000,6.500000,24.000000,-8.200000,0.000000,0.000000,0.000000,0.000000,-0.300000,-1.300000
12719829.000000,1500.000000,1500.000000,990.000000,1480.000000,3.600000,13.200000,-4.700000,0.000000,0.000000,0.000000,5.900000,21.700000,-7.500000,0.000000,0.000000,0.000000,0.000000,-0.300000,-1.300000
12722384.000000,1500.000000,1500.000000,990.000000,1480.000000,3.600000,13.200000,-4.700000,0.000000,0.000000,0.000000,5.900000,21.600000,-7.500000,0.000000,0.000000,0.000000,0.000000,-0.300000,-1.300000
12724673.000000,1500.000000,1500.000000,990.000000,1480.000000,3.600000,13.200000,-4.700000,0.000000,0.000000,0.000000,6.600000,24.100000,-8.200000,0.000000,0.000000,0.000000,0.000000,-0.300000,-1.300000
12727216.000000,1500.000000,1500.000000,990.000000,1480.000000,3.700000,13.200000,-4.700000,0.000000,0.000000,0.000000,6.000000,21.800000,-7.500000,0.000000,0.000000,0.000000,0.000000,-0.300000,-1.300000
12729631.000000,1500.000000,1500.000000,990.000000,1480.000000,3.700000,13.200000,-4.700000,0.000000,0.000000,0.000000,6.300000,22.900000,-7.800000,0.000000,0.000000,0.000000,0.000000,-0.300000,-1.300000
12731995.000000,1500.000000,1500.000000,990.000000,1480.000000,3.700000,13.200000,-4.700000,0.000000,0.000000,0.000000,6.400000,23.300000,-8.000000,0.000000,0.000000,0.000000,0.000000,-0.300000,-1.300000
12734543.000000,1500.000000,1500.000000,990.000000,1480.000000,3.700000,13.200000,-4.700000,0.000000,0.000000,0.000000,6.000000,21.700000,-7.500000,0.000000,0.000000,0.000000,0.000000,-0.300000,-1.300000
12736828.000000,1500.000000,1500.000000,990.000000,1480.000000,3.700000,13.100000,-4.700000,0.000000,0.000000,0.000000,6.600000,24.000000,-8.200000,0.000000,0.000000,0.000000,0.000000,-0.300000,-1.300000
12739374.000000,1500.000000,1500.000000,990.000000,1480.000000,3.600000,13.100000,-4.700000,0.000000,0.000000,0.000000,6.000000,21.700000,-7.500000,0.000000,0.000000,0.000000,0.000000,-0.300000,-1.300000
12741926.000000,1500.000000,1500.000000,990.000000,1480.000000,3.600000,13.200000,-4.700000,0.000000,0.000000,0.000000,5.900000,21.600000,-7.500000,0.000000,0.000000,0.000000,0.000000,-0.300000,-1.300000
12744212.000000,1500.000000,1500.000000,990.000000,1480.000000,3.600000,13.200000,-4.700000,0.000000,0.000000,0.000000,6.600000,24.000000,-8.200000,0.000000,0.000000,0.000000,0.000000,-0.300000,-1.300000
12746762.000000,1500.000000,1500.000000,990.000000,1480.000000,3.600000,13.200000,-4.700000,0.000000,0.000000,0.000000,5.900000,21.700000,-7.500000,0.000000,0.000000,0.000000,0.000000,-0.300000,-1.300000
12749047.000000,1500.000000,1500.000000,990.000000,1480.000000,3.600000,13.100000,-4.700000,0.000000,0.000000,0.000000,6.600000,24.000000,-8.200000,0.000000,0.000000,0.000000,0.000000,-0.300000,-1.300000
12751586.000000,1500.000000,1500.000000,990.000000,1480.000000,3.700000,13.100000,-4.700000,0.000000,0.000000,0.000000,6.000000,21.700000,-7.500000,0.000000,0.000000,0.000000,0.000000,-0.300000,-1.300000
12754127.000000,1500.000000,1500.000000,990.000000,1480.000000,3.700000,13.100000,-4.700000,0.000000,0.000000,0.000000,6.000000,21.700000,-7.500000,0.000000,0.000000,0.000000,0.000000,-0.300000,-1.300000
12756415.000000,1500.000000,1500.000000,990.000000,1480.000000,3.700000,13.100000,-4.700000,0.000000,0.000000,0.000000,6.700000,23.900000,-8.200000,0.000000,0.000000,0.000000,0.000000,-0.300000,-1.300000
12758966.000000,1500.000000,1500.000000,990.000000,1480.000000,3.700000,13.100000,-4.700000,0.000000,0.000000,0.000000,6.100000,21.500000,-7.500000,0.000000,0.000000,0.000000,0.000000,-0.300000,-1.300000
12761275.000000,1500.000000,1500.000000,990.000000,1480.000000,3.800000,13.100000,-4.700000,0.000000,0.000000,0.000000,6.800000,23.700000,-8.100000,0.000000,0.000000,0.000000,0.000000,-0.300000,-1.300000
12763750.000000,1500.000000,1500.000000,990.000000,1480.000000,3.800000,13.100000,-4.700000,0.000000,0.000000,0.000000,6.400000,22.200000,-7.700000,0.000000,0.000000,0.000000,0.000000,-0.300000,-1.300000
12766289.000000,1500.000000,1500.000000,990.000000,1480.000000,3.800000,13.100000,-4.700000,0.000000,0.000000,0.000000,6.300000,21.600000,-7.500000,0.000000,0.000000,0.000000,0.000000,-0.300000,-1.300000
12768582.000000,1500.000000,1500.000000,990.000000,1480.000000,3.800000,13.100000,-4.700000,0.000000,0.000000,0.000000,6.900000,23.800000,-8.200000,0.000000,0.000000,0.000000,0.000000,-0.300000,-1.300000
12771141.000000,1500.000000,1500.000000,990.000000,1480.000000,3.800000,13.100000,-4.700000,0.000000,0.000000,0.000000,6.200000,21.400000,-7.500000,0.000000,0.000000,0.000000,0.000000,-0.300000,-1.300000
12773511.000000,1500.000000,1500.000000,990.000000,1480.000000,3.800000,13.000000,-4.700000,0.000000,0.000000,0.000000,6.600000,23.000000,-7.900000,0.000000,0.000000,0.000000,0.000000,-0.300000,-1.300000
12775929.000000,1500.000000,1500.000000,990.000000,1480.000000,3.800000,13.000000,-4.700000,0.000000,0.000000,0.000000,6.500000,22.500000,-7.800000,0.000000,0.000000,0.000000,0.000000,-0.300000,-1.300000
12778479.000000,1500.000000,1500.000000,990.000000,1480.000000,3.800000,13.000000,-4.700000,0.000000,0.000000,0.000000,6.100000,21.500000,-7.500000,0.000000,0.000000,0.000000,0.000000,-0.300000,-1.300000
12780764.000000,1500.000000,1500.000000,990.000000,1480.000000,3.800000,13.100000,-4.700000,0.000000,0.000000,0.000000,6.800000,23.900000,-8.200000,0.000000,0.000000,0.000000,0.000000,-0.300000,-1.300000
12783311.000000,1500.000000,1500.000000,990.000000,1480.000000,3.800000,13.100000,-4.700000,0.000000,0.000000,0.000000,6.200000,21.600000,-7.500000,0.000000,0.000000,0.000000,0.000000,-0.300000,-1.300000
12785749.000000,1500.000000,1500.000000,990.000000,1480.000000,3.800000,13.100000,-4.700000,0.000000,0.000000,0.000000,6.400000,22.600000,-7.800000,0.000000,0.000000,0.000000,0.000000,-0.300000,-1.300000
12788103.000000,1500.000000,1500.000000,990.000000,1480.000000,3.800000,13.100000,-4.700000,0.000000,0.000000,0.000000,6.600000,23.300000,-8.000000,0.000000,0.000000,0.000000,0.000000,-0.300000,-1.300000
12790646.000000,1500.000000,1500.000000,990.000000,1480.000000,3.700000,13.100000,-4.700000,0.000000,0.000000,0.000000,6.100000,21.700000,-7.500000,0.000000,0.000000,0.000000,0.000000,-0.300000,-1.300000
