Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15,Channel 16,Channel 17,Channel 18,Channel 19,Channel 20
273584857.000000,1500.000000,1500.000000,994.000000,1500.000000,5.200000,13.700000,0.000000,0.000000,0.000000,0.000000,8.800000,23.400000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.500000,-1.300000
273587507.000000,1500.000000,1500.000000,994.000000,1500.000000,5.200000,13.700000,0.000000,0.000000,0.000000,0.000000,8.200000,21.800000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.500000,-1.300000
273589801.000000,1500.000000,1500.000000,994.000000,1500.000000,5.300000,13.700000,0.000000,0.000000,0.000000,0.000000,9.500000,25.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.500000,-1.300000
273592342.000000,1500.000000,1500.000000,994.000000,1500.000000,5.300000,13.800000,0.000000,0.000000,0.000000,0.000000,8.700000,22.700000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.500000,-1.300000
273594739.000000,1500.000000,1500.000000,994.000000,1500.000000,5.300000,13.800000,0.000000,0.000000,0.000000,0.000000,9.200000,24.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.500000,-1.300000
273597127.000000,1500.000000,1500.000000,994.000000,1500.000000,5.400000,13.800000,0.000000,0.000000,0.000000,0.000000,9.300000,24.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.500000,-1.300000
273599659.000000,1500.000000,1500.000000,994.000000,1500.000000,5.400000,13.800000,0.000000,0.000000,0.000000,0.000000,8.900000,22.800000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.500000,-1.300000
273601943.000000,1500.000000,1500.000000,994.000000,1500.000000,5.400000,13.800000,0.000000,0.000000,0.000000,0.000000,9.900000,25.200000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.500000,-1.300000
273604475.000000,1500.000000,1500.000000,994.000000,1500.000000,5.400000,13.800000,0.000000,0.000000,0.000000,0.000000,8.900000,22.900000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.500000,-1.300000
273606926.000000,1500.000000,1500.000000,994.000000,1500.000000,5.400000,13.800000,0.000000,0.000000,0.000000,0.000000,9.200000,23.600000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.500000,-1.300000
273609262.000000,1500.000000,1500.000000,994.000000,1500.000000,5.400000,13.800000,0.000000,0.000000,0.000000,0.000000,9.600000,24.800000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.500000,-1.300000
273611793.000000,1500.000000,1500.000000,994.000000,1500.000000,5.400000,13.900000,0.000000,0.000000,0.000000,0.000000,8.900000,23.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.500000,-1.300000
273614084.000000,1500.000000,1500.000000,994.000000,1500.000000,5.400000,13.900000,0.000000,0.000000,0.000000,0.000000,9.800000,25.300000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.500000,-1.300000
273616366.000000,1500.000000,1500.000000,994.000000,1500.000000,5.400000,13.900000,0.000000,0.000000,0.000000,0.000000,9.900000,25.400000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.500000,-1.300000
273618811.000000,1500.000000,1500.000000,994.000000,1500.000000,5.500000,13.900000,0.000000,0.000000,0.000000,0.000000,9.300000,23.800000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.500000,-1.300000
273621146.000000,1500.000000,1500.000000,994.000000,1500.000000,5.500000,13.900000,0.000000,0.000000,0.000000,0.000000,9.700000,24.800000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.500000,-1.300000
273623683.000000,1500.000000,1500.000000,994.000000,1500.000000,5.500000,13.900000,0.000000,0.000000,0.000000,0.000000,9.000000,22.900000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.500000,-1.300000
273625972.000000,1500.000000,1500.000000,994.000000,1500.000000,5.500000,13.900000,0.000000,0.000000,0.000000,0.000000,10.000000,25.300000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.500000,-1.300000
273628508.000000,1500.000000,1500.000000,994.000000,1500.000000,5.500000,13.900000,0.000000,0.000000,0.000000,0.000000,9.100000,23.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.500000,-1.300000
