Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15,Channel 16,Channel 17,Channel 18,Channel 19,Channel 20
22320633.000000,1500.000000,1500.000000,989.000000,1495.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,0.000000,0.000000,-179.700000,-1.000000
22323376.000000,1500.000000,1500.000000,989.000000,1495.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.400000,0.000000,0.000000,0.000000,0.000000,-179.700000,-1.000000
22325936.000000,1500.000000,1500.000000,989.000000,1495.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.400000,0.000000,0.000000,0.000000,0.000000,-179.700000,-1.000000
22328216.000000,1500.000000,1500.000000,989.000000,1495.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,0.000000,0.000000,-179.700000,-1.000000
22330772.000000,1500.000000,1500.000000,989.000000,1495.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.400000,0.000000,0.000000,0.000000,0.000000,-179.700000,-1.000000
22333323.000000,1500.000000,1500.000000,989.000000,1495.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.400000,0.000000,0.000000,0.000000,0.000000,-179.700000,-1.000000
22335603.000000,1500.000000,1500.000000,989.000000,1495.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,0.000000,0.000000,-179.700000,-1.000000
22338145.000000,1500.000000,1500.000000,989.000000,1495.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.400000,0.000000,0.000000,0.000000,0.000000,-179.700000,-1.000000
22340431.000000,1500.000000,1500.000000,989.000000,1495.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,0.000000,0.000000,-179.700000,-1.000000
22342970.000000,1500.000000,1500.000000,989.000000,1495.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.400000,0.000000,0.000000,0.000000,0.000000,-179.700000,-1.000000
22345517.000000,1500.000000,1500.000000,989.000000,1495.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.400000,0.000000,0.000000,0.000000,0.000000,-179.700000,-1.000000
22347801.000000,1500.000000,1500.000000,989.000000,1495.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,0.000000,0.000000,-179.700000,-1.000000
22350349.000000,1500.000000,1500.000000,989.000000,1495.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.400000,0.000000,0.000000,0.000000,0.000000,-179.700000,-1.000000
22352635.000000,1500.000000,1500.000000,989.000000,1495.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,0.000000,0.000000,-179.700000,-1.000000
22355177.000000,1500.000000,1500.000000,989.000000,1495.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.400000,0.000000,0.000000,0.000000,0.000000,-179.700000,-1.000000
22357717.000000,1500.000000,1500.000000,989.000000,1495.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.400000,0.000000,0.000000,0.000000,0.000000,-179.700000,-1.000000
22360156.000000,1500.000000,1500.000000,989.000000,1495.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,0.000000,0.000000,-179.700000,-1.000000
22362710.000000,1500.000000,1500.000000,989.000000,1495.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.400000,0.000000,0.000000,0.000000,0.000000,-179.700000,-1.000000
22365153.000000,1500.000000,1500.000000,989.000000,1495.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,0.000000,0.000000,-179.700000,-1.000000
22367489.000000,1500.000000,1500.000000,989.000000,1495.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,0.000000,0.000000,-179.700000,-1.000000
22370030.000000,1500.000000,1500.000000,989.000000,1495.000000,0.000000,0.000000,-0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.400000,0.000000,0.000000,0.000000,0.000000,-179.700000,-1.000000
