Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15,Channel 16,Channel 17,Channel 18,Channel 19,Channel 20
588494156.000000,1500.000000,1500.000000,1044.000000,1490.000000,0.000000,0.000000,-2.300000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.800000,11.000000,11.000000,11.000000,11.000000,-179.700000,-1.300000
588496775.000000,1500.000000,1500.000000,1044.000000,1490.000000,0.000000,0.000000,-2.300000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.700000,11.000000,11.000000,11.000000,11.000000,-179.700000,-1.300000
588499063.000000,1500.000000,1500.000000,1044.000000,1490.000000,0.000000,0.000000,-2.300000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.100000,11.000000,11.000000,11.000000,11.000000,-179.700000,-1.300000
588501589.000000,1500.000000,1500.000000,1044.000000,1490.000000,0.000000,0.000000,-2.300000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.800000,11.000000,11.000000,11.000000,11.000000,-179.700000,-1.300000
588503872.000000,1500.000000,1500.000000,1044.000000,1490.000000,0.000000,0.000000,-2.300000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.100000,11.000000,11.000000,11.000000,11.000000,-179.700000,-1.300000
588506390.000000,1500.000000,1500.000000,1044.000000,1490.000000,0.000000,0.000000,-2.300000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.800000,11.000000,11.000000,11.000000,11.000000,-179.700000,-1.300000
588508911.000000,1500.000000,1500.000000,1044.000000,1490.000000,0.000000,0.000000,-2.300000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.800000,11.000000,11.000000,11.000000,11.000000,-179.700000,-1.300000
588511185.000000,1500.000000,1500.000000,1044.000000,1490.000000,0.000000,0.000000,-2.300000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.100000,11.000000,11.000000,11.000000,11.000000,-179.700000,-1.300000
588513704.000000,1500.000000,1500.000000,1044.000000,1490.000000,0.000000,0.000000,-2.300000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.800000,11.000000,11.000000,11.000000,11.000000,-179.700000,-1.300000
588516028.000000,1500.000000,1500.000000,1044.000000,1490.000000,0.000000,0.000000,-2.300000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.000000,11.000000,11.000000,11.000000,11.000000,-179.700000,-1.300000
